Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues($millions),Revenue Change,Profits($millions),Profit Change,Assets($millions)
46,Fannie Mae,USA,"7,000",40,"$107,162",-2.9%,"$12,313.0 ",12.4%,"$3,287,968"
47,China Mobile Communications,China,"463,712",45,"$107,117",0.3%,"$9,614.3 ",-5.2%,"$246,446"
48,JP Morgan Chase,USA,"243,355",55,"$105,486",4.4%,"$24,733.0 ",1.2%,"$2,490,972"
49,Legal & General Group,Britain,"8,939",-,"$105,235",442.3%,"$1,697.9 ",3.4%,"$577,954"
50,Nippon Tel. & Tel.,Japan,"274,844",60,"$105,128",9.4%,"$7,384.4 ",20.2%,"$190,740"
51,China Life Insurance,China,"143,676",54,"$104,818",3.5%,$162.4 ,-96.1%,"$483,026"
52,BMW,Germany,"124,729",51,"$104,130",1.8%,"$7,589.4 ",7.4%,"$198,835"
53,Express Scripts Holding,USA,"25,600",52,"$100,288",-1.4%,"$3,404.4 ",37.5%,"$51,745"
54,Trafigura Beheer,Netherlands,"4,107",59,"$98,098",0.9%,$750.8 ,-39.3%,"$41,230"
55,China Railway Engineering,China,"292,215",57,"$96,979",-2.5%,$924.1 ,-6.0%,"$108,864"
56,Prudential plc,Britain,"23,673",126,"$96,965",53.7%,"$2,592.8 ",-34.2%,"$581,221"
57,Assicurazioni Generali,Italy,"73,727",49,"$95,217",-7.2%,"$2,301.3 ",2.2%,"$549,656"
58,China Railway Construction,China,"336,872",62,"$94,877",-0.8%,"$1,192.4 ",7.8%,"$109,968"
59,Home Depot,USA,"406,000",69,"$94,595",6.9%,"$7,957.0 ",13.5%,"$42,966"
60,Boeing,USA,"150,540",61,"$94,571",-1.6%,"$4,895.0 ",-5.4%,"$89,997"
61,Wells Fargo,USA,"269,100",67,"$94,176",4.6%,"$21,938.0 ",-4.2%,"$1,930,115"
62,Bank of America Corp.,USA,"208,024",64,"$93,662",0.7%,"$17,906.0 ",12.7%,"$2,187,702"
63,Gazprom,Russia,"467,400",56,"$91,382",-8.1%,"$14,222.6 ",10.4%,"$277,262"
64,Nestlé,Switzerland,"328,000",66,"$90,814",-1.6%,"$8,659.2 ",-8.1%,"$129,824"
65,Alphabet,USA,"72,053",94,"$90,272",20.4%,"$19,478.0 ",19.1%,"$167,497"
66,Siemens,Germany,"351,000",71,"$88,419",0.9%,"$6,050.5 ",-27.4%,"$141,271"
67,Carrefour,France,"384,151",73,"$87,112",-0.4%,$825.0 ,-24.1%,"$51,513"
68,Dongfeng Motor Group,China,"189,795",81,"$86,194",4.1%,"$1,415.0 ",-4.4%,"$59,532"
69,Microsoft,USA,"114,000",63,"$85,320",-8.8%,"$16,798.0 ",37.8%,"$193,694"
70,Anthem,USA,"53,000",85,"$84,863",7.2%,"$2,469.8 ",-3.5%,"$65,083"
71,Hitachi,Japan,"303,887",79,"$84,558",1.2%,"$2,134.3 ",48.8%,"$86,742"
72,SoftBank Group,Japan,"68,402",92,"$82,892",8.4%,"$13,163.4 ",233.3%,"$221,113"
73,Banco Santander,Spain,"185,606",75,"$82,801",-2.5%,"$6,860.7 ",3.7%,"$1,412,281"
74,Citigroup,USA,"219,000",70,"$82,386",-6.7%,"$14,912.0 ",-13.5%,"$1,792,077"
75,Petrobras,Brazil,"68,829",58,"$81,405",-16.3%,"-$4,838.0 ",-,"$246,983"
76,Bosch,Germany,"389,281",87,"$80,869",3.3%,"$2,155.3 ",-39.1%,"$86,348"
77,Deutsche Telekom,Germany,"221,000",90,"$80,832",5.3%,"$2,958.1 ",-18.0%,"$156,597"
78,Hyundai Motor,South Korea,"129,315",84,"$80,701",-0.8%,"$4,659.0 ",-17.9%,"$148,092"
79,Comcast,USA,"159,000",96,"$80,403",7.9%,"$8,695.0 ",6.5%,"$180,500"
80,Credit Agricole,France,"70,830",77,"$80,258",-4.6%,"$3,914.7 ",0.4%,"$1,607,501"
81,IBM,USA,"414,400",82,"$79,919",-3.1%,"$11,872.0 ",-10.0%,"$117,470"
82,Électricité de France,France,"154,808",80,"$78,740",-5.4%,"$3,152.8 ",139.4%,"$297,026"
83,Huawei Investment & Holding,China,"180,000",129,"$78,511",24.9%,"$5,579.4 ",-5.0%,"$63,837"
84,Enel,Italy,"62,080",78,"$78,064",-7.0%,"$2,842.0 ",16.7%,"$164,096"
85,State Farm Insurance Cos.,USA,"68,234",93,"$76,132",0.6%,$350.3 ,-94.4%,"$256,030"
86,China Resources National,China,"420,572",91,"$75,776",-1.0%,"$2,580.2 ",3.7%,"$158,291"
87,AEON,Japan,"274,760",111,"$75,772",11.8%,$103.9 ,108.6%,"$78,223"
88,HSBC Holdings,Britain,"241,000",68,"$75,329",-15.4%,"$2,479.0 ",-81.7%,"$2,374,986"
89,Pacific Construction Group,China,"362,128",99,"$74,629",2.2%,"$3,168.1 ",-1.2%,"$48,196"
90,Aviva,Britain,"29,530",279,"$74,628",105.9%,$948.8 ,-32.3%,"$544,063"
91,Uniper,Germany,"12,890",-,"$74,407",-,"-$3,557.5 ",-,"$51,541"
92,Tesco,Britain,"342,770",72,"$74,393",-15.1%,-$52.7 ,-125.3%,"$57,052"
93,GDF Suez,France,"153,090",89,"$73,692",-4.9%,-$458.9 ,-,"$167,158"
94,Airbus Group,Netherlands,"133,782",100,"$73,628",3.0%,"$1,100.3 ",-63.2%,"$117,204"
95,SK Holdings,South Korea,"84,000",294,"$72,579",107.4%,$659.7 ,-86.0%,"$85,332"
96,Phillips 66,USA,"14,800",74,"$72,396",-16.9%,"$1,555.0 ",-63.2%,"$51,653"
97,Johnson & Johnson,USA,"126,400",103,"$71,890",2.6%,"$16,540.0 ",7.3%,"$141,208"
98,Procter & Gamble,USA,"105,000",86,"$71,726",-8.9%,"$10,508.0 ",49.3%,"$127,136"
99,U.S. Postal Service,USA,"574,349",107,"$71,498",3.7%,"-$5,591.0 ",-,"$25,219"
100,China Southern Power Grid,China,"302,421",95,"$71,242",-4.6%,"$2,329.8 ",4.8%,"$99,187"
101,China South Industries Group,China,"232,817",102,"$71,151",1.5%,$580.3 ,-61.0%,"$51,857"
102,Lukoil,Russia,"105,500",76,"$70,897",-16.3%,"$3,090.6 ",-35.1%,"$82,179"
103,China Communications Construction,China,"152,666",110,"$70,751",4.4%,"$1,431.3 ",-16.2%,"$146,763"
104,Groupe BPCE,France,"102,827",155,"$70,517",25.5%,"$4,410.1 ",22.6%,"$1,302,721"
105,Sony,Japan,"128,400",113,"$70,170",3.9%,$676.4 ,-45.1%,"$158,519"
106,Valero Energy,USA,"9,996",83,"$70,166",-14.2%,"$2,289.0 ",-42.6%,"$46,173"
107,Target,USA,"323,000",97,"$69,495",-5.8%,"$2,737.0 ",-18.6%,"$37,431"
108,Societe Generale,France,"151,341",43,"$69,335",-1.1%,"$4,284.0 ",-3.5%,"$1,457,753"
109,Munich Re,Germany,"43,428",106,"$68,700",-1.1%,"$2,853.1 ",-17.2%,"$282,435"
110,Panasonic,Japan,"257,533",128,"$67,775",6.7%,"$1,378.4 ",0.2%,"$53,702"
111,Nippon Life Insurance,Japan,"85,171",114,"$67,388",0.4%,"$2,786.9 ",-17.1%,"$650,429"
112,Zurich Insurance Group,Switzerland,"52,473",141,"$67,245",11.0%,"$3,211.0 ",74.3%,"$382,679"
113,Itaú Unibanco Holding,Brazil,"94,779",159,"$66,876",21.4%,"$6,666.4 ",-13.7%,"$415,972"
114,People's Insurance Co. of China,China,"188,570",119,"$66,732",3.3%,"$2,144.3 ",-31.0%,"$134,132"
115,China National Offshore Oil,China,"100,821",109,"$65,892",-2.8%,"$1,752.4 ",-62.0%,"$166,595"
116,Marubeni,Japan,"39,952",138,"$65,792",8.2%,"$1,433.7 ",176.4%,"$61,904"
117,Deutsche Post,Germany,"459,262",108,"$65,787",-3.8%,"$2,918.3 ",70.8%,"$40,387"
118,Freddie Mac,USA,"5,982",124,"$65,665",3.4%,"$7,815.0 ",22.6%,"$2,023,376"
119,China Post Group,China,"941,211",105,"$65,605",-5.8%,"$4,980.3 ",18.7%,"$1,221,649"
120,China Minmetals,China,"212,406",323,"$65,547",105.6%,-$446.7 ,-,"$109,334"
121,Lloyds Banking Group,Britain,"70,433",193,"$65,208",38.2%,"$2,784.4 ",111.9%,"$1,010,245"
122,Lowe's,USA,"240,000",148,"$65,017",10.1%,"$3,093.0 ",21.5%,"$34,408"
123,Metro,Germany,"196,540",101,"$64,853",-9.0%,$665.0 ,-13.6%,"$28,039"
124,Dell Technologies,USA,"138,000",-,"$64,806",18.1%,"-$1,672.0 ",-,"$118,206"
125,China FAW Group,China,"122,323",130,"$64,784",3.1%,"$2,411.3 ",-25.9%,"$54,772"
126,BASF,Germany,"109,543",88,"$63,641",-18.6%,"$4,485.3 ",1.4%,"$80,675"
127,JX Holdings,Japan,"26,247",131,"$63,629",1.8%,"$1,477.3 ",-,"$59,767"
128,MetLife,USA,"58,000",104,"$63,476",-9.3%,$800.0 ,-84.9%,"$898,764"
129,Tewoo Group,China,"17,353",122,"$63,324",-1.4%,$141.7 ,-11.6%,"$34,713"
130,Aetna,USA,"49,500",142,"$63,155",4.7%,"$2,271.0 ",-5.0%,"$69,146"
131,PepsiCo,USA,"264,000",127,"$62,799",-0.4%,"$6,329.0 ",16.1%,"$74,129"
132,ENI,Italy,"33,536",65,"$62,694",-32.6%,"-$1,619.0 ",-,"$131,349"
133,China Telecommunications,China,"413,536",132,"$62,387",1.0%,"$1,764.6 ",2.9%,"$115,819"
134,Archer Daniels Midland,USA,"31,800",112,"$62,346",-7.9%,"$1,279.0 ",-30.8%,"$39,769"
135,China North Industries,China,"234,771",134,"$61,326",-0.5%,$853.0 ,6.2%,"$53,140"
136,COFCO,China,"101,708",121,"$61,265",-5.0%,$204.5 ,-23.0%,"$72,072"
137,Beijing Automotive Group,China,"134,765",160,"$61,130",11.3%,"$1,260.6 ",14.9%,"$57,783"
138,UPS,USA,"335,520",149,"$60,906",4.4%,"$3,431.0 ",-29.2%,"$40,377"
139,Anbang Insurance Group,China,"40,707",-,"$60,800",124.0%,"$3,883.9 ",0.9%,"$430,040"
140,Peugeot,France,"175,341",140,"$59,749",-1.5%,"$1,913.1 ",91.8%,"$47,620"
141,Albertsons Cos.,USA,"273,000",-,"$59,678",1.6%,-$373.3 ,-,"$23,755"
142,Dai-ichi Life Insurance,Japan,"62,606",135,"$59,590",-2.5%,"$2,134.5 ",43.5%,"$466,617"
143,Sinochem,China,"60,576",139,"$59,533",-1.9%,$468.0 ,-,"$57,484"
144,Intel,USA,"106,000",158,"$59,387",7.3%,"$10,316.0 ",-9.7%,"$113,327"
145,Mitsubishi Corp.,Japan,"77,164",151,"$59,303",2.8%,"$4,063.5 ",-,"$141,402"
146,Groupe Auchan,France,"342,709",144,"$58,862",-2.2%,$652.4 ,13.5%,"$38,537"
147,Aegon,Netherlands,"29,380",253,"$58,789",50.5%,$483.3 ,-38.7%,"$448,666"
148,Prudential Financial,USA,"49,739",152,"$58,779",2.9%,"$4,368.0 ",-22.6%,"$783,962"
149,Vodafone Group,Britain,"111,556",133,"$58,611",-5.0%,"-$6,904.0 ",-,"$165,420"
150,Unilever,Britain/Netherlands,"168,832",147,"$58,292",-1.4%,"$5,732.7 ",5.3%,"$59,512"
151,Banco do Brasil,Brazil,"100,622",115,"$58,093",-13.4%,"$2,013.8 ",-52.3%,"$426,416"
152,Pemex,Mexico,"125,689",98,"$57,774",-21.4%,"-$10,256.3 ",-,"$113,115"
153,Telefonica,Spain,"127,323",137,"$57,544",-5.5%,"$2,619.7 ",283.4%,"$130,396"
154,Banco Bradesco,Brazil,"94,541",209,"$57,443",31.3%,"$5,127.9 ",-5.7%,"$366,418"
155,United Technologies,USA,"201,600",136,"$57,244",-6.2%,"$5,055.0 ",-33.6%,"$89,706"
156,ArcelorMittal,Luxembourg,"198,517",123,"$56,791",-10.7%,"$1,779.0 ",-,"$75,142"
157,Renault,France,"124,849",178,"$56,667",12.7%,"$3,780.9 ",20.7%,"$107,681"
158,Rosneft Oil,Russia,"295,800",118,"$56,553",-12.7%,"$2,705.1 ",-53.4%,"$180,756"
159,Shandong Weiqiao Pioneering,China,"135,393",163,"$56,174",5.9%,"$1,217.2 ",8.6%,"$31,641"
160,Marathon Petroleum,USA,"44,460",120,"$55,858",-13.5%,"$1,174.0 ",-58.8%,"$44,413"
161,Walt Disney,USA,"195,000",164,"$55,632",6.0%,"$9,391.0 ",12.0%,"$92,033"
162,Aviation Industry Corp. of China,China,"457,097",143,"$55,306",-8.2%,$464.2 ,-47.4%,"$124,892"
163,ING Group,Netherlands,"51,943",117,"$55,282",-16.5%,"$5,501.6 ",0.7%,"$888,226"
164,Mitsubishi UFJ Financial Group,Japan,"115,276",191,"$55,185",15.9%,"$8,550.1 ",7.9%,"$2,722,354"
165,Royal Ahold,Netherlands,"225,000",222,"$54,955",29.7%,$917.9 ,-2.9%,"$38,257"
166,Humana,USA,"51,600",162,"$54,379",0.2%,$614.0 ,-51.9%,"$25,396"
167,Seven & I Holdings,Japan,"54,712",179,"$53,858",7.5%,$892.9 ,-33.0%,"$49,244"
168,Indian Oil,India,"34,999",161,"$53,562",-2.1%,"$2,960.0 ",72.7%,"$42,132"
169,Roche Group,Switzerland,"94,052",167,"$53,427",2.0%,"$9,719.9 ",5.5%,"$75,609"
170,HNA Group,China,"220,258",353,"$53,035",79.4%,$278.9 ,18.7%,"$173,095"
171,Bank of Communications,China,"95,160",153,"$52,990",-7.1%,"$10,116.9 ",-4.4%,"$1,209,176"
172,CITIC Group,China,"201,263",156,"$52,852",-5.5%,"$3,236.3 ",-14.0%,"$938,261"
173,Pfizer,USA,"96,500",186,"$52,824",8.1%,"$7,215.0 ",3.7%,"$171,615"
174,Bayer,Germany,"115,170",165,"$52,569",0.3%,"$5,010.6 ",9.9%,"$86,731"
175,AIG,USA,"56,400",150,"$52,367",-10.2%,-$849.0 ,-138.7%,"$498,264"
176,America Movil,Mexico,"194,193",154,"$52,201",-7.4%,$462.9 ,-79.0%,"$73,555"
177,Korea Electric Power,South Korea,"43,688",172,"$51,500",-0.6%,"$6,074.1 ",-48.3%,"$147,265"
178,Lockheed Martin,USA,"97,000",197,"$50,658",9.8%,"$5,302.0 ",47.1%,"$47,806"
179,Sysco,USA,"51,900",188,"$50,367",3.5%,$949.6 ,38.3%,"$16,722"
180,FedEx,USA,"335,767",192,"$50,365",6.1%,"$1,820.0 ",73.3%,"$46,064"
181,Hewlett Packard Enterprise,USA,"195,000",-,"$50,123",-,"$3,161.0 ",-,"$79,679"
182,Louis Dreyfus Commodities,Netherlands,"17,407",157,"$49,838",-10.6%,$305.0 ,44.5%,"$19,843"
183,Amer International Group,China,"17,852",190,"$49,677",3.9%,"$1,199.9 ",5.2%,"$18,405"
184,Petronas,Malaysia,"51,034",125,"$49,479",-22.0%,"$4,092.9 ",21.4%,"$134,528"
185,Tokyo Electric Power,Japan,"42,060",177,"$49,446",-2.2%,"$1,225.7 ",4.5%,"$110,202"
186,Novartis,Switzerland,"118,393",175,"$49,436",-3.1%,"$6,712.0 ",-62.3%,"$130,124"
187,Cisco Systems,USA,"73,700",183,"$49,247",0.2%,"$10,739.0 ",19.6%,"$121,652"
188,MS&AD Insurance,Japan,"40,641",231,"$49,239",17.9%,"$1,942.2 ",28.5%,"$190,596"
189,Deutsche Bank,Germany,"99,744",166,"$48,876",-6.8%,"-$1,550.4 ",-,"$1,677,437"
190,Power China,China,"187,813",200,"$48,869",7.2%,"$1,057.6 ",-9.6%,"$86,687"
191,JBS,Brazil,"237,061",185,"$48,825",-0.1%,$107.7 ,-92.3%,"$31,605"
192,PTT,Thailand,"24,934",146,"$48,719",-17.7%,"$2,681.6 ",360.6%,"$62,349"
193,Tokio Marine Holdings,Japan,"38,842",261,"$48,292",26.6%,"$2,527.4 ",19.2%,"$202,923"
194,HP,USA,"490,000",48,"$48,238",-53.3%,"$2,496.0 ",-45.2%,"$29,010"
195,RWE,Germany,"58,652",174,"$48,204",-6.6%,"-$6,249.1 ",-,"$80,576"
196,Dow Chemical,USA,"56,000",187,"$48,158",-1.3%,"$4,318.0 ",-43.8%,"$79,511"
197,Finatis,France,"232,503",170,"$48,154",-7.3%,$687.8 ,-,"$46,270"
198,Wesfarmers,Australia,"220,000",171,"$48,003",-7.6%,$296.1 ,-85.4%,"$30,358"
199,Sinopharm,China,"106,772",205,"$47,810",7.9%,$504.0 ,13.7%,"$36,767"
200,CNP Assurances,France,"5,035",182,"$47,804",-3.0%,"$1,327.3 ",5.8%,"$442,027"
201,LG Electronics,South Korea,"75,000",180,"$47,712",-4.6%,$66.2 ,-39.8%,"$31,348"
202,Sumitomo Mitsui Financial Group,Japan,"77,205",243,"$47,375",19.2%,"$6,520.5 ",21.0%,"$1,775,349"
203,Reliance Industries,India,"140,483",215,"$46,931",8.0%,"$4,458.9 ",5.6%,"$108,856"
204,Baosteel Group,China,"169,344",275,"$46,606",-11.5%,$442.8 ,-,"$106,725"
205,Noble Group,China,"1,000",116,"$46,528",-30.3%,$8.7 ,-,"$12,285"
206,Anheuser-Busch InBev,Belgium,"206,633",211,"$45,905",5.3%,"$1,241.0 ",-85.0%,"$258,381"
207,Statoil,Norway,"20,539",145,"$45,873",-23.4%,"-$2,902.0 ",-,"$104,530"
208,POSCO,South Korea,"31,768",173,"$45,621",-11.8%,"$1,167.5 ",669.8%,"$66,361"
209,Kia Motors,South Korea,"51,357",208,"$45,425",3.7%,"$2,373.8 ",2.0%,"$42,141"
210,Orange,France,"155,202",204,"$45,249",1.3%,"$3,245.7 ",10.3%,"$99,840"
211,ChemChina,China,"110,614",234,"$45,177",9.1%,$17.9 ,-,"$54,341"
212,Deutsche Bahn,Germany,"306,368",203,"$44,850",0.1%,$768.6 ,-,"$59,716"
213,Continental,Germany,"220,137",213,"$44,842",3.0%,"$3,099.1 ",2.4%,"$38,151"
214,HCA Holdings,USA,"210,500",212,"$44,747",2.7%,"$2,890.0 ",35.7%,"$33,758"
215,Itochu,Japan,"110,207",223,"$44,654",5.5%,"$3,250.6 ",62.3%,"$72,902"
216,China Merchants Bank,China,"70,461",189,"$44,552",-8.1%,"$9,344.8 ",1.8%,"$855,070"
217,State Bank of India,India,"278,872",232,"$44,533",6.8%,$36.0 ,-98.1%,"$530,590"
218,Woolworths,Australia,"205,000",176,"$43,925",-13.2%,-$898.3 ,-150.3%,"$17,495"
219,KDDI,Japan,"35,032",271,"$43,822",17.8%,"$5,045.1 ",22.5%,"$56,223"
220,Swiss Re,Switzerland,"14,053",282,"$43,786",22.6%,"$3,558.0 ",-22.6%,"$215,065"
221,HeBei Iron & Steel Group,China,"125,552",201,"$43,769",-3.3%,-$146.8 ,-,"$51,858"
222,CEFC China Energy,China,"29,637",229,"$43,743",4.5%,$740.9 ,22.8%,"$22,578"
223,Banco Bilbao Vizcaya Argentaria,Spain,"134,792",219,"$43,698",1.7%,"$3,842.8 ",31.1%,"$771,837"
224,ThyssenKrupp,Germany,"156,487",184,"$43,589",-11.0%,$328.6 ,-7.1%,"$39,411"
225,Saint-Gobain,France,"172,696",196,"$43,231",-6.4%,"$1,449.8 ",0.9%,"$46,158"
226,Lenovo Group,China,"52,000",202,"$43,035",-4.2%,$535.1 ,-,"$27,186"
227,Vinci,France,"183,487",210,"$42,771",-1.9%,"$2,770.1 ",22.1%,"$71,642"
228,Nippon Steel & Sumitomo Metal,Japan,"100,169",238,"$42,757",4.6%,"$1,208.5 ",-0.2%,"$65,182"
229,Bunge,USA,"32,000",214,"$42,679",-1.8%,$745.0 ,-5.8%,"$19,188"
230,Industrial Bank,China,"56,236",195,"$42,622",-8.2%,"$8,105.9 ",1.5%,"$875,731"
231,E.ON,Germany,"43,138",32,"$42,213",-67.3%,"-$9,344.4 ",-,"$67,179"
232,Sberbank,Russia,"325,075",199,"$42,159",-7.6%,"$8,078.0 ",121.0%,"$415,730"
233,China Shipbuilding Industry,China,"182,129",281,"$42,149",17.0%,$485.8 ,-62.9%,"$69,621"
234,Christian Dior,France,"120,479",228,"$42,113",0.5%,"$1,740.3 ",-38.7%,"$69,870"
235,Coca-Cola,USA,"100,300",206,"$41,863",-5.5%,"$6,527.0 ",-11.2%,"$87,270"
236,Denso,Japan,"154,493",268,"$41,781",10.9%,"$2,377.6 ",16.9%,"$46,233"
237,Fujitsu,Japan,"155,069",248,"$41,620",5.4%,$816.7 ,13.0%,"$28,646"
238,Guangzhou Automobile Industry Group,China,"75,908",303,"$41,560",20.7%,$551.9 ,10.8%,"$30,267"
239,Wilmar International,Singapore,"90,000",254,"$41,402",6.8%,$972.2 ,-7.9%,"$37,032"
240,Sanofi,France,"113,816",233,"$41,376",-0.2%,"$5,207.4 ",9.5%,"$110,390"
241,China United Network Communications,China,"253,724",207,"$41,274",-6.4%,$23.2 ,-95.8%,"$88,626"
242,Sumitomo Life Insurance,Japan,"42,245",335,"$40,921",31.6%,$517.5 ,-6.1%,"$308,346"
243,New York Life Insurance,USA,"11,320",198,"$40,787",-11.1%,"$1,088.1 ",324.1%,"$287,196"
244,Centene,USA,"30,500",470,"$40,721",78.6%,$562.0 ,58.3%,"$20,197"
245,Shanghai Pudong Devel. Bank,China,"52,832",227,"$40,689",-3.2%,"$7,992.8 ",-0.7%,"$842,832"
246,Hanwha,South Korea,"49,000",277,"$40,606",11.0%,$423.7 ,-,"$128,247"
247,Tata Motors,India,"79,558",226,"$40,329",-4.2%,"$1,111.6 ",-34.0%,"$42,162"
248,Aluminum Corp. of China,China,"121,146",262,"$40,278",6.0%,-$282.5 ,-,"$75,089"
249,Mitsui,Japan,"42,316",245,"$40,275",1.6%,"$2,825.3 ",-,"$103,231"
250,Manulife Financial,Canada,"34,500",394,"$40,238",49.4%,"$2,209.7 ",28.9%,"$537,461"
251,China Minsheng Banking,China,"58,720",221,"$40,234",-5.2%,"$7,201.6 ",-1.8%,"$848,389"
252,China Pacific Insurance,China,"97,032",251,"$40,193",2.2%,"$1,814.9 ",-35.7%,"$146,873"
253,American Airlines Group,USA,"122,300",236,"$40,180",-2.0%,"$2,676.0 ",-64.8%,"$51,274"
254,Nationwide,USA,"34,320",241,"$40,074",-0.4%,$334.3 ,-42.4%,"$197,790"
255,Merck,USA,"68,000",246,"$39,807",0.8%,"$3,920.0 ",-11.8%,"$95,377"
256,Cigna,USA,"41,000",264,"$39,668",4.7%,"$1,867.0 ",-10.8%,"$59,360"
257,Delta Air Lines,USA,"83,756",239,"$39,639",-2.6%,"$4,373.0 ",-3.4%,"$51,261"
258,Best Buy,USA,"125,000",244,"$39,403",-0.9%,"$1,228.0 ",36.9%,"$13,856"
259,China National Bldg. Materials Group,China,"228,448",327,"$39,323",24.0%,$74.5 ,-,"$81,224"
260,Honeywell International,USA,"131,000",256,"$39,302",1.9%,"$4,809.0 ",0.9%,"$54,146"
261,JD.Com,China,"120,622",366,"$39,155",35.7%,-$573.0 ,-,"$23,077"
